,url-info,memento-datetime,tweet-url,memento-url,tweet-content
76,"com,twitter)/an_cabraal/status/1324288632098758657",20201105095318,https://twitter.com/an_cabraal/status/1324288632098758657,https://web.archive.org/web/20201105095318/https://twitter.com/an_cabraal/status/1324288632098758657,Trade deficit contracts by over USD 1billion during the 8 months ending August 2020 compared to the corresponding period of 2019: #Rupee steady: interest rates continue at low levels for the 10th consecutive month @CSE_Media #EconomicRecoveryPlan #CentralBankSL #lka
77,"com,twitter)/an_cabraal/status/1324288815624646656",20201105095404,https://twitter.com/an_cabraal/status/1324288815624646656,https://web.archive.org/web/20201105095404/https://twitter.com/an_cabraal/status/1324288815624646656,Trade deficit contracts by over USD 1 billion during the 8 months ending August 2020 compared to the corresponding period of 2019: #Rupee steady: interest rates continue at low levels for the 10th consecutive month @CSE_Media #EconomicRecoveryPlan #CentralBankSL #lka
84,"com,twitter)/an_cabraal/status/1324956732964081665",20210501223115,https://twitter.com/an_cabraal/status/1324956732964081665,https://web.archive.org/web/20210501223115/https://twitter.com/an_cabraal/status/1324956732964081665,"Contrary to adverse expectations, Central Govt Debt will be well below 100% of #GDP in 2020: with our integrated #Debt Management plan, we hope to reduce it to 70% by 2025 @CBSL @IMFNews @FitchRatings @MoodysInvSvc #lka #EconomicRecoveryPlan Here we go again!!! Why don't we start with reporting the GDP data for Q2??? Yes pls , the government must reveal Sri Lanka will never fall, until we have wonderful leaders like You, Proud to be Sri Lankan, we also do our bit to make Sri Lanka wonder of Asia,,,, we ll participate in the economy at our fullest while obeying health guidelines ,,,  නන්දසේන #සfail Dear Sri Lankans.....
Obey Health guidelines
Work Hard
Work Efficiently
Work Effectively
Be Creative  
Reuse (specially things that we Import)
Buy Made in Sri Lanka
& Invest
If every one of us can practice these we are better than Singapore by 2025,,  GDP is the number given to the value of manufacture. 

Ahem...

 In this age of media reality the good minister might be banking on an entirely new source of value.

 The value of manufacturing the GDP number.  Unless, CBSL is wrong our liquid reserves are USD 5.1 billion. Another  1.1 billion needs to be paid within 30 days.  Within 12 months it is USD 4.5 billion. This all in US dollars. You cannot inflate that or print that.  That is not going to go away. That is the reality. Yes, you can do it.. You can see a sunshine even inside a deep mine..  @GotabayaR @PresRajapaksa @SecPompeo 
Please work on to allow @PayPal business accounts (Merchant) in Sri Lanka. There are lot of people in here willing to enter the international market, however it is impossible due to above issue. Among them most are the younger generation. Ecommerce sector is growing in SL gradually and ready to run with the global markets. Lot of traditional product manufacturers are now arising with the current government policies."
125,"com,twitter)/an_cabraal/status/1332568827725418498",20201128061618,https://twitter.com/an_cabraal/status/1332568827725418498,https://web.archive.org/web/20201128061618/https://twitter.com/an_cabraal/status/1332568827725418498,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan"
126,"com,twitter)/an_cabraal/status/1332568829948428290",20201128061610,https://twitter.com/an_cabraal/status/1332568829948428290,https://web.archive.org/web/20201128061610/https://twitter.com/an_cabraal/status/1332568829948428290,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan"
152,"com,twitter)/an_cabraal/status/1342299812528472064",20201225024319,https://twitter.com/an_cabraal/status/1342299812528472064,https://web.archive.org/web/20201225024319/https://twitter.com/an_cabraal/status/1342299812528472064,"Congratulations to 1229 #companies incorporated during Nov 2020. Encouraging to see our efforts to create a conducive environment for #business activities in SL being made use of by our country’s #entrepreneur @CBSL #lka #economyrisingpic.twitter.com/H1jgBQrixF We’ve opened a company while we’re in overseas however sad to say that non of the bank let us open a bank account online. It is how lots of dollars #LK missed in 2020 from our business.I’m disappointed about that fact @IDhamith @shiyam160 @dsrajapaksa 
Thank you all for you comments I will be certainly looking at these suggestions on the way forward!"
153,"com,twitter)/an_cabraal/status/1342320261664702464",20201225040614,https://twitter.com/an_cabraal/status/1342320261664702464,https://web.archive.org/web/20201225040614/https://twitter.com/an_cabraal/status/1342320261664702464,Sri Lanka's #trade gap narrowed by USD 1.6 bn in the first 10 months of 2020. Worker #remittances improved by 4% in the first 11 months. Clear signs of a current account #surplus in Q3. @CBSL @CSE_Media #economicrecoveryplan
183,"com,twitter)/an_cabraal/status/1355419474388799488",20210130073623,https://twitter.com/an_cabraal/status/1355419474388799488,https://web.archive.org/web/20210130073623/https://twitter.com/an_cabraal/status/1355419474388799488,"Sri Lanka exporters should convert, #rupee worth 185 to #dollar: Minister Cabraal. @CBSL @Economynext #lkahttps://economynext.com/sri-lanka-exporters-should-convert-rupee-worth-185-to-dollar-minister-cabraal-78354/ …"
188,"com,twitter)/an_cabraal/status/1360054270377140229",20210212023324,https://twitter.com/an_cabraal/status/1360054270377140229,https://web.archive.org/web/20210212023324/https://twitter.com/an_cabraal/status/1360054270377140229,"At end 2014, @CSE_Media 's market cap was about #USD 24b: today it's only about USD 17b. After 5 years of even modest growth, that means there's a lot of intrinsic value in Sri Lanka's #corporates. #SriLanka #lka #reality #capitalmarket"
196,"com,twitter)/an_cabraal/status/1363055524703465472",20210220091913,https://twitter.com/an_cabraal/status/1363055524703465472,https://web.archive.org/web/20210220091913/https://twitter.com/an_cabraal/status/1363055524703465472,There is absolutely no truth in the mischievous #rumour that #GOSL and @CBSL have directed the conversion of any #NRFC or #RFC account balances into #LKR. There is neither any intention nor a need to do so. @MFA_SriLanka #fakenews #FactCheck #lka #remittance
