,url-info,memento-datetime,tweet-url,memento-url,tweet-content
34,"com,twitter)/an_cabraal/status/1173805904736612352",20190917041426,https://twitter.com/an_cabraal/status/1173805904736612352,https://web.archive.org/web/20190917041426/https://twitter.com/an_cabraal/status/1173805904736612352,"Agriculture Minister Duminda says a colossal rent was paid for actress Sabitha's building on PM Ranil's advice: Ranil admits staggering loss, but refuses to accept responsibility: suggests Prez Sirisena is responsible. It's time for People to use the ""Maduwalige""! #LKA #SriLanka So then, here’s a question for you... who exactly was responsible for the Greek bonds fiasco?"
47,"com,twitter)/an_cabraal/status/1220702229465829379",20200124134956,https://twitter.com/an_cabraal/status/1220702229465829379,https://web.archive.org/web/20200124134956/https://twitter.com/an_cabraal/status/1220702229465829379,"The Forensic Audit is a part of the Bond Scam Cover-up

From the time the Bondscam was carried out by the Ranil Wickremesinghe administration, that administration under the guidance of the former Prime Minister... https://www.facebook.com/937582062972301/posts/2950646458332508/ …"
48,"com,twitter)/an_cabraal/status/1220702229465829379",20200126082111,https://twitter.com/an_cabraal/status/1220702229465829379,https://web.archive.org/web/20200126082111/https://twitter.com/an_cabraal/status/1220702229465829379,"The Forensic Audit is a part of the Bond Scam Cover-up

From the time the Bondscam was carried out by the Ranil Wickremesinghe administration, that administration under the guidance of the former Prime Minister... https://www.facebook.com/937582062972301/posts/2950646458332508/ … Just keeping on accusing and counteraccusing won't get you anywhere. The public wishes to see the culprits, irrespective of which political hue they belong to, brought to books soon. If you keep dragging this on for another 10 years, there will be no culprit alive to be punished. Sir, If it's a Scam why don't you take legal against the auditors who reported on it. Challenge them. They have deep pockets and professional indemnity cover to pay out. pic.twitter.com/ruvq0l3TJy You need to face the consequences for playing with innocent people's hard earned money @an_cabraal . Take legal action if you are clean. Else we will assume report is corr6 But you are not ready to deny that you also looted the country"
72,"com,twitter)/an_cabraal/status/1323937668527398918",20201104103851,https://twitter.com/an_cabraal/status/1323937668527398918,https://web.archive.org/web/20201104103851/https://twitter.com/an_cabraal/status/1323937668527398918,@CSE_Media #ASPI gains 2.3%: market turnover Rs.2.7 billion: yields on International Sovereign Bonds improve significantly: @MoodysInvSvc acknowledges Sri Lanka's potential to attract FDIs to Port City and port-related enterprises #lka #bonds #EconomicRecoveryPlan #investments
101,"com,twitter)/an_cabraal/status/1326220170172526593",20201110175125,https://twitter.com/an_cabraal/status/1326220170172526593,https://web.archive.org/web/20201110175125/https://twitter.com/an_cabraal/status/1326220170172526593,"Sri Lanka's near term #International Sovereign #Bond yields have tightened by over 40% in just one week: displays fast improving levels of international #investor confidence 
@CBSL #EconomicRecoveryPlan #lka #investment #SovereignBond #MinistryOfFinancepic.twitter.com/GnwmSaRX9C"
125,"com,twitter)/an_cabraal/status/1332568827725418498",20201128061618,https://twitter.com/an_cabraal/status/1332568827725418498,https://web.archive.org/web/20201128061618/https://twitter.com/an_cabraal/status/1332568827725418498,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan"
126,"com,twitter)/an_cabraal/status/1332568829948428290",20201128061610,https://twitter.com/an_cabraal/status/1332568829948428290,https://web.archive.org/web/20201128061610/https://twitter.com/an_cabraal/status/1332568829948428290,"The Y'palana Govt borrowed a massive USD 6.9 billion (9.8% of GDP) in #ISBs in a 15-mth period Apr18-Jun19, the cost of 6 #Hambanthota Ports!
Now, the int'l agencies that promoted those loans say #SL has a debt problem! We reduced SL's #debt /GDP ratio from 91% to 70% from 2006-14, and we'll do that again by 2025 @CBSL @FitchRatings #lka #economicrecoveryplan #economicrecoveryplan"
156,"com,twitter)/an_cabraal/status/1344264748808826886",20210101010403,https://twitter.com/an_cabraal/status/1344264748808826886,https://web.archive.org/web/20210101010403/https://twitter.com/an_cabraal/status/1344264748808826886,"Shame on you! Opposition #fake news about state banks facing stress. Reminds me of their previous efforts to dissuade international #investors from #investing in Sri Lanka's #ISBs. #fakenews #lka #economySL @pcranawaka ගේ මඩ ජඩ වැඩ. ලංකාවට කෙලවෙනකන් බලන් ඉන්න මිනිස්සු For a second I thought I'm reading a tweet from @realDonaldTrump Really? You wanna play a card from Trump? Because that turned out great Americans nah. There are enough sceptics and knockers in this world. However I sincerely hope the economic recovery we desperately need happens and SL can blossom again. Need strict disciplined approach with no exceptions Minister! My investor deposited sum in early December but due to central bank restrictions I’m unable to recover till today..now investor changed his decision not to invest in Srilanka..the utmost responsibility goes to Central bank. Even Trump would laugh at that!pic.twitter.com/Evj763la6L So why not do a stress testing of your banks with correct information ,, with Internation stands !!! Don't you have any plans from #Viyathmaga or economic expertise to clear this mess rather than blaming others and pointing fingers at everybody else ??"
207,"com,twitter)/an_cabraal/status/1366299761909714955",20210301081042,https://twitter.com/an_cabraal/status/1366299761909714955,https://web.archive.org/web/20210301081042/https://twitter.com/an_cabraal/status/1366299761909714955,"Former @CBSL Deputy Governor & my friend @waw1949  has introduced “Cabraalnomics” to the Econ #lexicon & also said #SL should have a backup rescue plan. As Wije knows, I always have a Plan B & C while implementing Plan A. http://www.ft.lk/columns/Cabraalnomics-No-default-because-we-have-enough-forex-inflows-to-pay-ISBs/4-713907 … @FT_SriLanka #Cabraalnomics #lka"
208,"com,twitter)/an_cabraal/status/1366299761909714955",20210302202307,https://twitter.com/an_cabraal/status/1366299761909714955,https://web.archive.org/web/20210302202307/https://twitter.com/an_cabraal/status/1366299761909714955,"Former @CBSL Deputy Governor & my friend @waw1949  has introduced “Cabraalnomics” to the Econ #lexicon & also said #SL should have a backup rescue plan. As Wije knows, I always have a Plan B & C while implementing Plan A. http://www.ft.lk/columns/Cabraalnomics-No-default-because-we-have-enough-forex-inflows-to-pay-ISBs/4-713907 … @FT_SriLanka #Cabraalnomics #lka Sir, in 2010 22kt was 50k now 100k, property also appreciated some how, most of the sock in cse same level, consider USD then and now, its encouraging FD, need more inflow any plan please We can have some confidence with @an_cabraal but not the Govt. What was the plan on greek bond last time?? And crude oil HEDGING! Why don’t you go for a TV debate with him pic.twitter.com/TBl1HC8Hwy Let's have a debate with @waw1949 
in @hirunews @NewsfirstSL ?

Are you ready? 
Ok ok u know economics Hope it's not borrowing more to settle debt like we always do. Honestly hope you have a sustainable solution by boosting exports/remittances/FDIs n cutting budget deficit below 5% by 2025."
305,"com,twitter)/an_cabraal/status/1382680733001555970",20210415130402,https://twitter.com/an_cabraal/status/1382680733001555970,https://web.archive.org/web/20210415130402/https://twitter.com/an_cabraal/status/1382680733001555970,Rating agencies & some #Investment Banks must be quite embarassed that their #clients had suffered major losses due to their recent hasty & ill-advised reports about the Sri Lankan credit. #SriLanka @CBSL @FitchRatings @Reuters @IMFNews @MoodysInvSvc #GoSLhttps://www.reuters.com/article/sri-lanka-bonds-idUSL1N2M51VK …
308,"com,twitter)/an_cabraal/status/1384065859447001091",20210902031538,https://twitter.com/an_cabraal/status/1384065859447001091,https://web.archive.org/web/20210902031538/https://twitter.com/an_cabraal/status/1384065859447001091,"SL Rupee further appreciated against US Dollar today. Current buying and selling rates of US Dollar are Rs.187.93 &  191.97 respectively - CBSL
We are a Government that does what it says. @HarshadeSilvaMP @FitchRatings @MoodysInvSvc #Rupee #SriLanka #GoSL #economicrecoveryplan Great sir Hats off to your efforts... Stability ia what we need. Fingers crossed. Great Job and excellent strategy what's the strategy? So how was it done exactly sir? By getting a $500m loan from China...any other initiative? Would be good to know  how long will it act as a support to stabilize the rupee and what can we expect in the next 6 months. Need buildup local producers in each sector & recovery of the Tourism sector, able to limit external vulnerability. Sound reserve management practices important for increasing a country's overall resilience to shocks. hope that we can collectively appreciate the Rupee value by another Rs.10 against USD $...... Thumbs up....! 
If we can stabilize rupee value LKR against $  gradually will be reducing all the bad patches Then what went wrong with the Greek Bonds back in recent past??? Also the hedging issue??? Can you elaborate and explain same like you explained about someone working in Port City yesterday????

Other thing why didn't we take a loan from IMF or any other country???"
311,"com,twitter)/an_cabraal/status/1384065859447001091",20210904031045,https://twitter.com/an_cabraal/status/1384065859447001091,https://web.archive.org/web/20210904031045/https://twitter.com/an_cabraal/status/1384065859447001091,"SL Rupee further appreciated against US Dollar today. Current buying and selling rates of US Dollar are Rs.187.93 &  191.97 respectively - CBSL
We are a Government that does what it says. @HarshadeSilvaMP @FitchRatings @MoodysInvSvc #Rupee #SriLanka #GoSL #economicrecoveryplan Great sir Hats off to your efforts... Stability ia what we need. Fingers crossed. Great Job and excellent strategy what's the strategy? So how was it done exactly sir? By getting a $500m loan from China...any other initiative? Would be good to know  how long will it act as a support to stabilize the rupee and what can we expect in the next 6 months. Need buildup local producers in each sector & recovery of the Tourism sector, able to limit external vulnerability. Sound reserve management practices important for increasing a country's overall resilience to shocks. hope that we can collectively appreciate the Rupee value by another Rs.10 against USD $...... Thumbs up....! 
If we can stabilize rupee value LKR against $  gradually will be reducing all the bad patches Then what went wrong with the Greek Bonds back in recent past??? Also the hedging issue??? Can you elaborate and explain same like you explained about someone working in Port City yesterday????

Other thing why didn't we take a loan from IMF or any other country???"
312,"com,twitter)/an_cabraal/status/1384065859447001091",20210904183646,https://twitter.com/an_cabraal/status/1384065859447001091,https://web.archive.org/web/20210904183646/https://twitter.com/an_cabraal/status/1384065859447001091,"SL Rupee further appreciated against US Dollar today. Current buying and selling rates of US Dollar are Rs.187.93 &  191.97 respectively - CBSL
We are a Government that does what it says. @HarshadeSilvaMP @FitchRatings @MoodysInvSvc #Rupee #SriLanka #GoSL #economicrecoveryplan Great sir Hats off to your efforts... Stability ia what we need. Fingers crossed. Great Job and excellent strategy what's the strategy? So how was it done exactly sir? By getting a $500m loan from China...any other initiative? Would be good to know  how long will it act as a support to stabilize the rupee and what can we expect in the next 6 months. Need buildup local producers in each sector & recovery of the Tourism sector, able to limit external vulnerability. Sound reserve management practices important for increasing a country's overall resilience to shocks. hope that we can collectively appreciate the Rupee value by another Rs.10 against USD $...... Thumbs up....! 
If we can stabilize rupee value LKR against $  gradually will be reducing all the bad patches Then what went wrong with the Greek Bonds back in recent past??? Also the hedging issue??? Can you elaborate and explain same like you explained about someone working in Port City yesterday????

Other thing why didn't we take a loan from IMF or any other country???"
313,"com,twitter)/an_cabraal/status/1384065859447001091",20220308053800,https://twitter.com/an_cabraal/status/1384065859447001091,https://web.archive.org/web/20220308053800/https://twitter.com/an_cabraal/status/1384065859447001091,"SL Rupee further appreciated against US Dollar today. Current buying and selling rates of US Dollar are Rs.187.93 &  191.97 respectively - CBSL
We are a Government that does what it says. @HarshadeSilvaMP @FitchRatings @MoodysInvSvc #Rupee #SriLanka #GoSL #economicrecoveryplan Great sir Hats off to your efforts... Stability ia what we need. Fingers crossed. Great Job and excellent strategy what's the strategy? So how was it done exactly sir? By getting a $500m loan from China...any other initiative? Would be good to know  how long will it act as a support to stabilize the rupee and what can we expect in the next 6 months. Need buildup local producers in each sector & recovery of the Tourism sector, able to limit external vulnerability. Sound reserve management practices important for increasing a country's overall resilience to shocks. hope that we can collectively appreciate the Rupee value by another Rs.10 against USD $...... Thumbs up....! 
If we can stabilize rupee value LKR against $  gradually will be reducing all the bad patches Then what went wrong with the Greek Bonds back in recent past??? Also the hedging issue??? Can you elaborate and explain same like you explained about someone working in Port City yesterday????

Other thing why didn't we take a loan from IMF or any other country???"
